| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
|------------------|------------------|--------------------|--------------------|
| 1 | 0.004 | 0.005 | 0.03 |
| 2 | 0.008 | 0.01 | 0.061 |
| 3 | 0.013 | 0.015 | 0.093 |
| 4 | 0.018 | 0.02 | 0.125 |
| 5 | 0.023 | 0.026 | 0.16 |
| 6 | 0.028 | 0.032 | 0.196 |
| 7 | 0.034 | 0.038 | 0.232 |
| 8 | 0.04 | 0.044 | 0.269 |
| 9 | 0.046 | 0.05 | 0.307 |
| 10 | 0.052 | 0.057 | 0.346 |
| 11 | 0.059 | 0.065 | 0.385 |
| 12 | 0.067 | 0.073 | 0.424 |
| 13 | 0.075 | 0.081 | 0.463 |
| 14 | 0.083 | 0.089 | 0.503 |
| 15 | 0.091 | 0.099 | 0.543 |
| 16 | 0.1 | 0.109 | 0.584 |
| 17 | 0.109 | 0.119 | 0.629 |
| 18 | 0.118 | 0.13 | 0.675 |
| 19 | 0.127 | 0.141 | 0.722 |
| 20 | 0.136 | 0.152 | 0.77 |
| 21 | 0.146 | 0.164 | 0.819 |
| 22 | 0.156 | 0.176 | 0.868 |
| 23 | 0.166 | 0.189 | 0.921 |
| 24 | 0.176 | 0.202 | 0.977 |
| 25 | 0.187 | 0.216 | 1.037 |
| 26 | 0.198 | 0.23 | 1.101 |
| 27 | 0.209 | 0.244 | 1.17 |
| 28 | 0.22 | 0.258 | 1.24 |
| 29 | 0.231 | 0.272 | 1.31 |
| 30 | 0.243 | 0.286 | 1.381 |
| 31 | 0.255 | 0.3 | 1.453 |
| 32 | 0.267 | 0.314 | 1.527 |
| 33 | 0.279 | 0.329 | 1.606 |
| 34 | 0.291 | 0.344 | 1.687 |
| 35 | 0.303 | 0.359 | 1.773 |
| 36 | 0.316 | 0.374 | 1.863 |
| 37 | 0.329 | 0.39 | 1.954 |
| 38 | 0.343 | 0.406 | 2.049 |
| 39 | 0.357 | 0.422 | 2.148 |
| 40 | 0.371 | 0.438 | 2.249 |
| 41 | 0.385 | 0.454 | 2.356 |
| 42 | 0.399 | 0.47 | 2.465 |
| 43 | 0.413 | 0.486 | 2.575 |
| 44 | 0.427 | 0.502 | 2.688 |
| 45 | 0.441 | 0.518 | 2.801 |
| 46 | 0.455 | 0.535 | 2.915 |
| 47 | 0.47 | 0.552 | 3.03 |
| 48 | 0.485 | 0.569 | 3.147 |
| 49 | 0.5 | 0.586 | 3.265 |
| 50 | 0.515 | 0.603 | 3.383 |
| 51 | 0.53 | 0.62 | 3.502 |
| 52 | 0.545 | 0.638 | 3.622 |
| 53 | 0.56 | 0.656 | 3.743 |
| 54 | 0.575 | 0.674 | 3.864 |
| 55 | 0.591 | 0.692 | 3.989 |
| 56 | 0.607 | 0.71 | 4.116 |
| 57 | 0.623 | 0.729 | 4.244 |
| 58 | 0.64 | 0.748 | 4.372 |
| 59 | 0.657 | 0.767 | 4.503 |
| 60 | 0.674 | 0.786 | 4.637 |
| 61 | 0.691 | 0.806 | 4.771 |
| 62 | 0.709 | 0.826 | 4.91 |
| 63 | 0.727 | 0.846 | 5.052 |
| 64 | 0.745 | 0.867 | 5.196 |
| 65 | 0.763 | 0.889 | 5.341 |
| 66 | 0.781 | 0.911 | 5.486 |
| 67 | 0.799 | 0.933 | 5.631 |
| 68 | 0.817 | 0.955 | 5.778 |
| 69 | 0.835 | 0.977 | 5.927 |
| 70 | 0.854 | 0.999 | 6.077 |
| 71 | 0.873 | 1.021 | 6.228 |
| 72 | 0.892 | 1.044 | 6.38 |
| 73 | 0.911 | 1.068 | 6.532 |
| 74 | 0.93 | 1.092 | 6.697 |
| 75 | 0.949 | 1.116 | 6.863 |
| 76 | 0.968 | 1.141 | 7.032 |
| 77 | 0.987 | 1.166 | 7.206 |
| 78 | 1.006 | 1.191 | 7.389 |
| 79 | 1.026 | 1.216 | 7.572 |
| 80 | 1.046 | 1.241 | 7.764 |
| 81 | 1.066 | 1.266 | 7.958 |
