| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
|------------------|------------------|--------------------|--------------------|
| 1 | 0.002 | 0.017 | 0.007 |
| 2 | 0.004 | 0.034 | 0.015 |
| 3 | 0.006 | 0.052 | 0.024 |
| 4 | 0.008 | 0.071 | 0.034 |
| 5 | 0.01 | 0.091 | 0.045 |
| 6 | 0.013 | 0.111 | 0.057 |
| 7 | 0.016 | 0.132 | 0.069 |
| 8 | 0.019 | 0.153 | 0.674 |
| 9 | 0.023 | 0.174 | 1.514 |
| 10 | 0.035 | 0.196 | 2.399 |
| 11 | 0.048 | 0.218 | 3.305 |
| 12 | 0.061 | 0.241 | 4.211 |
| 13 | 0.074 | 0.264 | 5.118 |
| 14 | 0.088 | 0.288 | 6.041 |
| 15 | 0.102 | 0.312 | 6.993 |
| 16 | 0.116 | 0.337 | 7.949 |
| 17 | 0.13 | 0.362 | 8.98 |
| 18 | 0.144 | 0.388 | 10.017 |
| 19 | 0.159 | 0.415 | 11.058 |
| 20 | 0.174 | 0.444 | 12.106 |
| 21 | 0.189 | 0.473 | 13.166 |
| 22 | 0.204 | 0.503 | 14.256 |
| 23 | 0.219 | 0.533 | 15.348 |
| 24 | 0.235 | 0.564 | 16.465 |
| 25 | 0.251 | 0.596 | 17.607 |
| 26 | 0.267 | 0.635 | 18.771 |
| 27 | 0.283 | 0.677 | 19.944 |
| 28 | 0.299 | 0.721 | 21.119 |
| 29 | 0.315 | 0.769 | 22.295 |
| 30 | 0.331 | 0.824 | 23.504 |
| 31 | 0.347 | 0.882 | 24.724 |
| 32 | 0.363 | 0.952 | 25.949 |
| 33 | 0.379 | 1.03 | 27.181 |
| 34 | 0.396 | 1.108 | 28.417 |
| 35 | 0.413 | 1.187 | 29.655 |
| 36 | 0.43 | 1.266 | 30.907 |
| 37 | 0.447 | 1.355 | 32.181 |
| 38 | 0.465 | 1.446 | 33.46 |
| 39 | 0.483 | 1.539 | 34.749 |
| 40 | 0.501 | 1.634 | 36.061 |
| 41 | 0.519 | 1.755 | 37.391 |
| 42 | 0.538 | 1.877 | 38.722 |
| 43 | 0.557 | 2.012 | 40.054 |
| 44 | 0.576 | 2.188 | 41.399 |
| 45 | 0.596 | 2.401 | 42.758 |
| 46 | 0.616 | 2.628 | 44.129 |
| 47 | 0.636 | 2.855 | 45.502 |
| 48 | 0.656 | 3.189 | 46.894 |
| 49 | 0.676 | 3.847 | 48.294 |
| 50 | 0.696 | 4.81 | 49.699 |
| 51 | 0.716 | 6.465 | 51.111 |
| 52 | 0.736 | 8.569 | 52.63 |
| 53 | 0.756 | 10.794 | 54.152 |
| 54 | 0.776 | 13.379 | 55.677 |
| 55 | 0.797 | 27.579 | 57.235 |
| 56 | 0.819 | 43.583 | 58.802 |
| 57 | 0.841 | 60.286 | 60.447 |
| 58 | 0.863 | 80.446 | 62.18 |
| 59 | 0.886 | 115.072 | 63.92 |
| 60 | 0.909 | 173.933 | 65.672 |
| 61 | 0.932 |  | 67.429 |
| 62 | 0.955 |  | 69.257 |
| 63 | 0.979 |  | 71.105 |
| 64 | 1.004 |  | 73.016 |
| 65 | 1.029 |  | 75.015 |
| 66 | 1.054 |  | 77.019 |
| 67 | 1.079 |  | 79.03 |
| 68 | 1.105 |  | 81.044 |
