| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
|------------------|------------------|--------------------|--------------------|
| 1 | 0.004 | 0.005 | 0.065 |
| 2 | 0.008 | 0.01 | 0.132 |
| 3 | 0.013 | 0.015 | 0.202 |
| 4 | 0.018 | 0.02 | 0.273 |
| 5 | 0.023 | 0.026 | 0.345 |
| 6 | 0.028 | 0.032 | 0.419 |
| 7 | 0.033 | 0.038 | 0.496 |
| 8 | 0.038 | 0.044 | 0.574 |
| 9 | 0.043 | 0.05 | 0.653 |
| 10 | 0.048 | 0.056 | 0.733 |
| 11 | 0.053 | 0.063 | 0.818 |
| 12 | 0.058 | 0.07 | 0.903 |
| 13 | 0.064 | 0.078 | 0.988 |
| 14 | 0.07 | 0.086 | 1.073 |
| 15 | 0.076 | 0.094 | 1.159 |
| 16 | 0.082 | 0.102 | 1.245 |
| 17 | 0.088 | 0.11 | 1.333 |
| 18 | 0.094 | 0.118 | 1.421 |
| 19 | 0.1 | 0.126 | 1.509 |
| 20 | 0.107 | 0.135 | 1.598 |
| 21 | 0.114 | 0.144 | 1.687 |
| 22 | 0.121 | 0.153 | 1.777 |
| 23 | 0.128 | 0.162 | 1.868 |
| 24 | 0.135 | 0.171 | 1.96 |
| 25 | 0.143 | 0.18 | 2.052 |
| 26 | 0.151 | 0.189 | 2.145 |
| 27 | 0.159 | 0.198 | 2.238 |
| 28 | 0.167 | 0.207 | 2.331 |
| 29 | 0.175 | 0.216 | 2.424 |
| 30 | 0.183 | 0.226 | 2.517 |
| 31 | 0.191 | 0.236 | 2.612 |
| 32 | 0.199 | 0.246 | 2.71 |
| 33 | 0.208 | 0.256 | 2.811 |
| 34 | 0.217 | 0.266 | 2.913 |
| 35 | 0.226 | 0.277 | 3.018 |
| 36 | 0.235 | 0.288 | 3.124 |
| 37 | 0.244 | 0.299 | 3.23 |
| 38 | 0.253 | 0.311 | 3.338 |
| 39 | 0.262 | 0.323 | 3.446 |
| 40 | 0.271 | 0.335 | 3.555 |
| 41 | 0.281 | 0.347 | 3.665 |
| 42 | 0.291 | 0.359 | 3.776 |
| 43 | 0.301 | 0.371 | 3.887 |
| 44 | 0.311 | 0.383 | 3.998 |
| 45 | 0.321 | 0.395 | 4.113 |
