numTacs,Time
1,8213
2,15185
3,21190
4,27263
5,33390
6,39447
7,44973
8,49178
9,53492
10,57749
11,62222
12,66396
13,70382
14,74361
15,78204
16,82027
17,83087
18,83991
19,84693
20,85388
21,86065
22,86715
23,87345
24,87970
25,88600
26,89216
27,89810
28,90404
29,90977
30,91567
31,92133
32,92690
33,93216
34,93733
35,94236
36,94658
37,95076
38,95481
39,95897
40,96306
41,96702
42,97095
43,97476
44,97854
45,98221
46,98584
47,98942
48,99288
49,99632
50,99969
51,100305
52,100629
53,100951
54,101265
55,101565
56,101860
57,102149
58,102420
59,102680
60,102943
61,103201
62,103454
63,103706
64,103962
65,104212
66,104456
67,104704
68,104949
69,105188
70,105441
71,105677
72,105914
73,106152
74,106388
75,106625
76,106858
77,107083
78,107310
79,107536
80,107765
81,107985
82,108206
83,108424
84,108640
85,108854
86,109063
87,109271
88,109477
89,109681
90,109881
91,110080
92,110274
93,110476
