numTacs,Time
1,18997
2,34950
3,38181
4,41745
5,44511
6,46907
7,49306
8,51548
9,54143
10,56688
11,58621
12,60389
13,62099
14,63760
15,65421
16,67044
17,68515
18,70008
19,71518
20,72883
21,74238
22,75563
23,76881
24,77486
25,78154
26,78705
27,79249
28,79742
29,80222
30,80678
31,81128
32,81575
33,82014
34,82423
35,82829
36,83166
37,83497
38,83824
39,84151
40,84469
41,84786
42,85078
43,85367
44,85644
45,85921
46,86176
47,86417
48,86647
49,86875
50,87100
51,87324
52,87542
53,87751
54,87960
55,88166
56,88373
57,88575
58,88780
59,88983
60,89184
61,89419
62,89611
63,89794
64,89977
65,90151
66,90317
67,90482
68,90682
69,90833
70,90985
71,91132
72,91281
73,91425
74,91570
75,91715
76,91865
77,92010
78,92149
79,92291
80,92425
81,92559
82,92690
83,92859
84,92987
85,93115
86,93242
87,93367
88,93488
89,93608
90,93729
91,93848
92,93966
93,94084
94,94198
95,94311
96,94428
97,94541
98,94651
99,94766
100,94875
101,94982
102,95083
103,95178
104,95269
