numTacs,Time
1,4395
2,5803
3,7403
4,8268
5,9219
6,11140
7,12186
8,12793
9,13354
10,14809
11,18936
12,19338
13,19723
14,20075
15,20362
16,20582
17,20791
18,21025
19,21246
20,21443
21,21542
22,21632
23,21718
24,21797
25,21878
26,22030
27,22104
28,22176
29,22247
30,22317
31,22387
32,22451
33,22511
34,22567
35,22620
36,22669
37,22718
38,22766
39,22813
40,22859
41,22904
42,22945
43,22984
44,23024
45,23063
46,23102
47,23141
48,23181
49,23219
50,23256
51,23292
52,23328
53,23397
54,23432
55,23464
56,23496
57,23527
58,23557
