numTacs,Time
1,391700
2,445156
3,496694
4,608686
5,651363
6,720631
7,750361
8,767002
9,781505
10,795653
11,812115
12,825453
13,837792
14,851191
15,862935
16,884777
17,894771
18,905038
19,915072
20,924808
21,933523
22,942713
23,947391
24,951936
25,956463
26,960663
27,964422
28,971237
29,974081
30,976608
31,979062
32,981269
33,983483
34,985609
35,987729
36,989728
37,991742
38,993746
39,995757
40,997585
41,999433
42,1001344
43,1003096
44,1004836
45,1006361
46,1007883
47,1009402
48,1010969
49,1012527
50,1013927
51,1015319
52,1016678
53,1018090
54,1019421
55,1020794
56,1022199
57,1024870
58,1026144
59,1027396
60,1028538
61,1029870
62,1031215
63,1032545
64,1033777
65,1035002
66,1036281
67,1037593
68,1038964
69,1040200
70,1041409
71,1042582
72,1043871
73,1045047
74,1046222
75,1047442
76,1048680
77,1049844
78,1050961
79,1052051
80,1053143
81,1054203
82,1055251
83,1056292
84,1057329
85,1059439
86,1060470
87,1061426
88,1062378
89,1063284
90,1064190
91,1065097
92,1065982
93,1067627
94,1068467
95,1070224
