numTacs,Time
1,540128
2,1084694
3,1101316
4,1102646
5,1104078
6,1104767
7,1105390
8,1105958
9,1106502
10,1106993
11,1107414
12,1107823
13,1108191
14,1108546
15,1108920
16,1109255
17,1109590
18,1109918
19,1110223
20,1110515
21,1110797
22,1111056
23,1111308
24,1111540
25,1111955
26,1112136
27,1112314
28,1112488
29,1112655
30,1112832
31,1113154
32,1113311
33,1113470
34,1113629
35,1113785
36,1113933
37,1114076
38,1114217
39,1114355
40,1114491
41,1114623
42,1114759
43,1114886
44,1115013
45,1115138
46,1115265
47,1115391
48,1115512
49,1115632
50,1115751
51,1115871
52,1115987
53,1116102
54,1116213
55,1116321
56,1116431
57,1116537
58,1116645
59,1116751
60,1116862
