numTacs,Time
1,58917
2,65941
3,71743
4,77688
5,81646
6,84287
7,87150
8,89660
9,92173
10,94389
11,96391
12,98432
13,100437
14,102350
15,104252
16,106190
17,107709
18,110650
19,112318
20,113701
21,115127
22,116209
23,117262
24,118303
25,119257
26,120168
27,120997
28,121809
29,122679
30,123561
31,124349
32,125170
33,125960
34,126727
35,127424
36,128131
37,128580
38,128995
39,129407
40,129820
41,130343
42,130901
43,131394
44,131830
45,132729
46,133128
47,133604
48,134003
49,134405
50,135235
51,135595
52,135944
53,136297
54,136634
55,137062
56,137401
57,137772
58,138136
59,138474
60,138776
61,139134
62,139437
63,139782
64,140101
65,140417
66,140732
67,141082
68,141384
69,141707
70,142290
71,142561
72,142821
73,143077
74,143296
75,143527
76,143759
77,143993
