numTacs,Time
1,1610
2,2814
3,3672
4,4418
5,5129
6,5740
7,6289
8,6612
9,6932
10,7235
11,7516
12,7789
13,8049
14,8256
15,8441
16,8599
17,8746
18,8892
19,9037
20,9175
21,9271
22,9391
23,9482
24,9567
25,9635
26,9699
27,9763
28,9821
29,9878
30,9933
31,9991
32,10042
33,10090
34,10135
35,10181
36,10225
37,10268
38,10312
39,10352
40,10393
41,10432
42,10470
43,10506
44,10544
45,10580
46,10615
47,10651
48,10685
49,10717
50,10750
51,10781
52,10811
53,10840
54,10869
55,10898
56,10927
57,10954
58,10982
59,11008
60,11032
61,11057
62,11082
63,11106
64,11130
65,11152
66,11174
67,11196
68,11218
69,11240
70,11260
71,11280
72,11300
73,11319
74,11337
75,11355
76,11374
77,11391
78,11408
79,11425
80,11441
81,11458
82,11474
83,11490
84,11507
85,11523
86,11539
87,11555
