numTacs,Time
1,25926
2,48370
3,51449
4,53220
5,55416
6,56334
7,57063
8,57728
9,58353
10,58971
11,59618
12,60089
13,60536
14,60983
15,61413
16,61766
17,62068
18,62363
19,62588
20,62797
21,62975
22,63145
23,63302
24,63461
25,63606
26,63751
27,63901
28,64011
29,64121
30,64229
31,64330
32,64424
33,64514
34,64603
35,64687
36,64768
37,64844
38,64918
39,64990
40,65062
41,65132
42,65198
43,65260
44,65319
45,65378
46,65433
47,65485
48,65535
49,65583
50,65629
51,65697
52,65737
53,65826
54,65863
55,65951
56,65982
57,66012
58,66087
59,66114
60,66143
61,66171
62,66199
63,66224
64,66249
65,66274
66,66295
67,66366
68,66427
69,66446
70,66464
71,66483
72,66579
73,66597
74,66667
75,66683
76,66699
77,66714
78,66728
79,66743
80,66757
81,66771
82,66785
83,66799
84,66814
85,66827
86,66863
87,66877
88,66889
89,66943
90,66957
91,66970
92,66981
