numTacs,Time
1,55341
2,101742
3,148116
4,149706
5,151169
6,152624
7,155154
8,155764
9,156329
10,156855
11,157811
12,158536
13,158772
14,158991
15,159169
16,159298
17,159407
18,159506
19,159597
20,159669
21,159731
22,159788
23,159843
24,159895
25,159986
26,160065
27,160093
28,160118
29,160141
30,160163
31,160185
32,160203
33,160220
34,160235
35,160251
36,160263
37,160274
38,160285
39,160295
40,160305
41,160313
42,160323
43,160331
44,160339
45,160346
46,160360
47,160368
48,160374
49,160380
50,160386
51,160392
52,160398
53,160403
54,160408
55,160413
56,160418
