numTacs,Time
1,34626
2,54786
3,113647
4,130350
5,146354
6,160554
7,163139
8,165243
9,166898
10,169123
11,170086
12,170420
13,171078
14,171305
15,171518
16,171745
17,171921
18,172043
19,172164
20,172257
21,172346
22,172441
23,172520
24,172599
25,172677
26,172755
27,172846
28,172916
29,173051
30,173106
31,173164
32,173212
33,173251
34,173293
35,173324
36,173354
37,173383
38,173427
39,173452
40,173482
41,173514
42,173537
43,173566
44,173588
45,173609
46,173633
47,173653
48,173680
49,173706
50,173728
51,173749
52,173768
53,173791
54,173811
55,173836
56,173860
57,173881
58,173899
59,173916
60,173933
