numTacs,Time
1,159817
2,201070
3,240464
4,270112
5,299716
6,329246
7,330135
8,330759
9,331341
10,331873
11,332317
12,332743
13,333162
14,333454
15,333724
16,333978
17,334222
18,334448
19,334638
20,334833
21,335010
22,335178
23,335323
24,335442
25,335564
26,335657
27,335746
28,335837
29,335917
30,335998
31,336078
32,336158
33,336236
34,336309
35,336378
36,336445
37,336511
38,336577
39,336640
40,336698
41,336765
42,336824
43,336887
44,336942
45,336999
46,337049
47,337099
48,337146
49,337194
50,337242
51,337287
52,337330
53,337373
54,337414
55,337454
56,337493
57,337535
58,337574
59,337612
60,337646
61,337680
62,337714
63,337745
64,337775
65,337805
66,337835
67,337865
68,337894
69,337923
70,337951
71,337978
72,338005
73,338031
74,338055
75,338077
76,338098
77,338120
78,338140
79,338160
80,338181
81,338202
82,338221
83,338240
84,338258
85,338276
