numTacs,Time
1,8487
2,13852
3,17955
4,21948
5,22791
6,23451
7,24049
8,24562
9,25017
10,25283
11,25535
12,25762
13,25985
14,26203
15,26421
16,26626
17,26826
18,27018
19,27197
20,27367
21,27665
22,27797
23,27936
24,28062
25,28153
26,28230
27,28304
28,28385
29,28454
30,28523
31,28581
32,28647
33,28699
34,28749
35,28796
36,28841
37,28885
38,28925
39,28955
40,28983
41,29009
42,29035
43,29059
44,29083
45,29104
46,29126
47,29145
48,29163
49,29181
50,29217
51,29234
52,29250
53,29267
54,29283
55,29299
56,29315
57,29329
58,29345
59,29357
60,29370
61,29393
62,29406
63,29418
64,29429
65,29442
66,29454
67,29465
68,29475
69,29486
70,29495
71,29504
72,29513
