| num_tacs_learned | time(s)_tacminer | time(s)_no_pruning | time(s)_no_grammar |
|------------------|------------------|--------------------|--------------------|
| 1 | 0.004 | 0.005 | 0.219 |
| 2 | 0.008 | 0.011 | 0.442 |
| 3 | 0.012 | 0.017 | 0.673 |
| 4 | 0.016 | 0.023 | 0.905 |
| 5 | 0.021 | 0.029 | 1.139 |
| 6 | 0.026 | 0.035 | 1.39 |
| 7 | 0.031 | 0.041 | 1.646 |
| 8 | 0.036 | 0.048 | 1.906 |
| 9 | 0.041 | 0.055 | 2.175 |
| 10 | 0.046 | 0.062 | 2.445 |
| 11 | 0.052 | 0.069 | 2.716 |
| 12 | 0.058 | 0.077 | 3.004 |
| 13 | 0.065 | 0.085 | 3.303 |
| 14 | 0.072 | 0.094 | 3.605 |
| 15 | 0.079 | 0.103 | 3.907 |
| 16 | 0.086 | 0.112 | 4.21 |
| 17 | 0.094 | 0.121 | 4.516 |
| 18 | 0.102 | 0.131 | 4.824 |
| 19 | 0.11 | 0.141 | 5.133 |
| 20 | 0.118 | 0.151 | 5.442 |
| 21 | 0.127 | 0.162 | 5.753 |
| 22 | 0.136 | 0.173 | 6.068 |
| 23 | 0.146 | 0.184 | 6.384 |
| 24 | 0.156 | 0.195 | 6.7 |
| 25 | 0.166 | 0.207 | 7.017 |
| 26 | 0.176 | 0.219 | 7.336 |
| 27 | 0.187 | 0.231 | 7.655 |
| 28 | 0.198 | 0.243 | 7.978 |
| 29 | 0.209 | 0.256 | 8.305 |
| 30 | 0.22 | 0.269 | 8.635 |
| 31 | 0.231 | 0.282 | 8.968 |
| 32 | 0.243 | 0.296 | 9.304 |
| 33 | 0.255 | 0.311 | 9.641 |
| 34 | 0.267 | 0.326 | 9.979 |
| 35 | 0.279 | 0.341 | 10.318 |
| 36 | 0.291 | 0.357 | 10.661 |
| 37 | 0.303 | 0.373 | 11.006 |
| 38 | 0.316 | 0.389 | 11.351 |
| 39 | 0.329 | 0.405 | 11.698 |
| 40 | 0.342 | 0.421 | 12.047 |
| 41 | 0.355 | 0.438 | 12.397 |
| 42 | 0.368 | 0.455 | 12.75 |
| 43 | 0.381 | 0.472 | 13.103 |
| 44 | 0.394 | 0.49 | 13.461 |
| 45 | 0.407 | 0.508 | 13.821 |
| 46 | 0.42 | 0.526 | 14.185 |
| 47 | 0.433 | 0.544 | 14.554 |
| 48 | 0.446 | 0.563 | 14.925 |
| 49 | 0.459 | 0.582 | 15.324 |
| 50 | 0.473 | 0.601 | 15.723 |
| 51 | 0.487 | 0.62 | 16.125 |
| 52 | 0.501 | 0.64 | 16.537 |
| 53 | 0.515 | 0.66 | 16.95 |
| 54 | 0.529 | 0.68 | 17.365 |
| 55 | 0.543 | 0.701 | 17.793 |
| 56 | 0.557 | 0.722 | 18.226 |
| 57 | 0.571 | 0.743 | 18.662 |
| 58 | 0.585 | 0.764 | 19.103 |
| 59 | 0.6 | 0.786 | 19.552 |
| 60 | 0.615 | 0.808 | 20.009 |
| 61 | 0.63 | 0.83 | 20.482 |
| 62 | 0.645 | 0.853 | 20.958 |
| 63 | 0.66 | 0.877 | 21.451 |
| 64 | 0.675 | 0.901 | 21.974 |
| 65 | 0.69 | 0.925 | 22.532 |
| 66 | 0.705 | 0.95 | 23.096 |
| 67 | 0.72 | 0.976 | 23.671 |
| 68 | 0.736 | 1.002 | 24.254 |
| 69 | 0.752 | 1.028 | 24.849 |
| 70 | 0.768 | 1.054 | 25.462 |
| 71 | 0.784 | 1.081 | 26.085 |
| 72 | 0.8 | 1.108 | 26.782 |
| 73 | 0.816 | 1.135 | 27.489 |
| 74 | 0.832 | 1.163 | 28.256 |
| 75 | 0.848 | 1.191 | 29.044 |
| 76 | 0.865 | 1.219 | 29.834 |
| 77 | 0.882 | 1.248 | 30.646 |
| 78 | 0.899 | 1.277 | 31.467 |
| 79 | 0.916 | 1.307 | 32.296 |
| 80 | 0.933 | 1.337 | 33.126 |
| 81 | 0.95 | 1.367 | 33.996 |
| 82 | 0.967 | 1.397 | 34.878 |
| 83 | 0.985 | 1.427 | 35.777 |
| 84 | 1.003 | 1.458 | 36.688 |
| 85 | 1.021 | 1.491 | 37.642 |
