numTacs,Time
1,426
2,947
3,1444
4,1856
5,2319
6,2737
7,3071
8,3269
9,3498
10,3725
11,3945
12,4153
13,4341
14,4486
15,4601
16,4745
17,4859
18,4967
19,5071
20,5135
21,5198
22,5256
23,5318
24,5373
25,5422
26,5469
27,5515
28,5563
29,5609
30,5653
31,5696
32,5736
33,5776
34,5815
35,5850
36,5882
37,5913
38,5945
39,5976
40,6007
41,6038
42,6068
43,6098
44,6128
45,6159
46,6187
47,6214
48,6242
49,6268
50,6295
51,6321
52,6346
53,6374
54,6403
55,6430
56,6454
57,6478
58,6500
59,6521
60,6541
61,6561
62,6580
63,6600
64,6619
65,6638
66,6657
67,6676
68,6695
69,6713
70,6731
71,6749
72,6767
73,6785
74,6803
75,6820
76,6837
77,6853
78,6868
79,6884
80,6899
81,6914
82,6928
83,6943
84,6957
85,6971
86,6985
87,6998
88,7010
89,7021
90,7033
91,7044
