numTacs,Time
1,3765
2,5218
3,5713
4,6873
5,7264
6,7553
7,7844
8,8089
9,8372
10,8624
11,8968
12,9177
13,9390
14,9595
15,9799
16,9977
17,10130
18,10280
19,10430
20,10544
21,10655
22,10767
23,10878
24,10980
25,11080
26,11178
27,11269
28,11353
29,11429
30,11500
31,11569
32,11641
33,11709
34,11776
35,11845
36,11904
37,11959
38,12222
39,12271
40,12323
41,12372
42,12421
43,12464
44,12506
45,12792
46,12833
47,12871
48,12907
49,12943
50,12977
51,13011
52,13047
53,13079
54,13109
55,13142
56,13173
57,13204
58,13234
59,13262
60,13528
61,13600
62,13626
63,13694
64,13717
65,13740
66,13762
67,13783
68,13828
69,13847
70,13939
71,13958
72,13977
73,13995
74,14039
75,14055
76,14070
77,14084
78,14151
79,14165
80,14179
81,14192
82,14206
83,14218
84,14253
85,14265
86,14318
87,14330
88,14340
89,14351
90,14362
91,14372
92,14381
93,14390
94,14399
95,14409
