numTacs,Time
1,3978
2,6285
3,10218
4,12396
5,15023
6,16723
7,19122
8,20117
9,20388
10,20648
11,20892
12,21053
13,21313
14,21516
15,21611
16,21702
17,21820
18,21898
19,21985
20,22054
21,22111
22,22165
23,22228
24,22282
25,22335
26,22385
27,22436
28,22486
29,22545
30,22589
31,22640
32,22691
33,22733
34,22790
35,22829
36,22873
37,22906
38,22943
39,22981
40,23023
41,23043
42,23063
43,23082
44,23104
45,23129
46,23147
47,23165
48,23185
49,23208
50,23225
51,23241
52,23257
53,23273
54,23288
55,23305
56,23326
57,23343
58,23360
59,23380
60,23393
61,23407
