numTacs,Time
1,1667
2,3367
3,4711
4,13502
5,14230
6,15577
7,15925
8,16173
9,16399
10,16622
11,16805
12,16985
13,17170
14,17395
15,17729
16,17879
17,18034
18,18178
19,18324
20,18472
21,18590
22,18683
23,18775
24,18858
25,18947
26,19046
27,19145
28,19218
29,19289
30,19428
31,19506
32,19564
33,19621
34,19679
35,19751
36,19807
37,19859
38,19910
39,19965
40,20021
41,20067
42,20114
43,20155
44,20192
45,20232
46,20278
47,20311
48,20342
49,20373
50,20406
51,20434
52,20461
53,20486
54,20512
55,20537
56,20560
57,20589
58,20612
59,20635
60,20655
61,20679
62,20719
63,20739
64,20761
65,20783
66,20803
67,20822
68,20840
69,20859
70,20879
71,20895
72,20911
73,20936
74,20956
75,20972
76,20988
77,21003
78,21019
79,21034
80,21049
81,21064
82,21080
83,21098
84,21125
85,21138
86,21158
87,21171
88,21183
89,21215
90,21229
91,21243
92,21257
93,21273
