numTacs,Time
1,18342
2,32124
3,46643
4,62882
5,78034
6,93476
7,93767
8,94010
9,94239
10,94463
11,94624
12,94790
13,94955
14,95115
15,95281
16,95400
17,95519
18,95629
19,95720
20,95818
21,95912
22,95998
23,96088
24,96177
25,96276
26,96365
27,96441
28,96498
29,96546
30,96592
31,96640
32,96681
33,96720
34,96779
35,96821
36,96861
37,96900
38,96938
39,96975
40,97013
41,97049
42,97086
43,97120
44,97153
45,97184
46,97221
47,97253
48,97282
49,97311
50,97343
51,97374
52,97407
53,97433
54,97460
55,97487
56,97513
57,97537
58,97559
59,97580
60,97600
61,97623
62,97644
63,97663
64,97684
65,97704
66,97726
67,97745
68,97765
69,97785
70,97804
71,97821
72,97837
73,97854
74,97870
75,97885
76,97898
77,97911
78,97925
79,97937
80,97950
81,97963
82,97975
