numTacs,Time
1,215
2,321
3,1589
4,3316
5,3394
6,3485
7,3595
8,3676
9,3750
10,3825
11,3898
12,3965
13,4041
14,4110
15,4174
16,4236
17,4305
18,4359
19,4415
20,4464
21,4514
22,4560
23,4619
24,4666
25,4705
26,4742
27,4775
28,4814
29,4854
30,4890
31,4924
32,4958
33,4989
34,5019
35,5047
36,5079
37,5109
38,5141
39,5170
40,5197
41,5250
42,5276
43,5300
44,5327
45,5351
46,5373
47,5395
48,5417
49,5438
50,5460
51,5482
52,5501
53,5519
54,5539
55,5588
56,5607
57,5626
58,5646
59,5665
60,5683
61,5721
62,5744
63,5778
64,5795
65,5827
66,5843
67,5858
68,5874
69,5890
70,5904
71,5918
72,5932
73,5947
74,5963
75,5978
76,5992
77,6006
78,6020
79,6035
80,6048
81,6061
82,6087
83,6099
84,6114
85,6127
86,6138
87,6149
