numTacs,Time
1,934
2,2145
3,3009
4,4285
5,4546
6,4794
7,5045
8,5274
9,5483
10,5598
11,5723
12,5829
13,5944
14,6049
15,6133
16,6229
17,6329
18,6418
19,6600
20,6696
21,6790
22,6880
23,6951
24,7024
25,7085
26,7146
27,7205
28,7270
29,7323
30,7368
31,7412
32,7452
33,7493
34,7532
35,7570
36,7615
37,7651
38,7683
39,7712
40,7742
41,7770
42,7799
43,7825
44,7851
45,7869
46,7885
47,7901
48,7916
49,7947
50,7961
51,7974
52,7987
53,7999
54,8014
55,8029
56,8043
57,8055
58,8066
59,8078
60,8089
61,8099
62,8108
63,8125
64,8133
65,8143
66,8152
67,8159
68,8167
69,8173
